case_id,group,terminal_status,strict_pass,core_execution_pass,overall_score,error_family,recommended_followup,key_issues
bls_two_box_interference_pressure_history,no_skill,success,True,True,1.0,success,keep_as_positive_control,observed OpenFOAM warning: charge_mass_discretization; observed OpenFOAM warning: openfoam_warning
bls_two_box_interference_pressure_history,abstract_skill,success,True,True,1.0,success,keep_as_positive_control,observed OpenFOAM nonblocking warning: mesh_boundary_update; observed OpenFOAM nonblocking warning: probe_location_adjusted; observed OpenFOAM warning: charge_mass_discretization
bls_two_box_interference_pressure_history,concrete_verifier_skill,workflow_state_mismatch,False,False,0.8681,workflow_state_mismatch,non_placeholder_review_contract,failed check: OpenFOAM blocking diagnostics absent; failed check: workflow exit_code zero; failed check: workflow failure absent; observed OpenFOAM blocking diagnostic: openfoam_fatal
building_corner_diffraction_probe_grid,no_skill,success,True,True,0.9921,success,keep_as_positive_control,observed OpenFOAM nonblocking warning: probe_interpolation_downgraded; observed OpenFOAM warning: charge_mass_discretization
building_corner_diffraction_probe_grid,abstract_skill,success,True,True,0.9921,success,keep_as_positive_control,observed OpenFOAM nonblocking warning: probe_interpolation_downgraded; observed OpenFOAM warning: charge_mass_discretization
building_corner_diffraction_probe_grid,concrete_verifier_skill,success,True,True,0.9921,success,keep_as_positive_control,observed OpenFOAM nonblocking warning: probe_location_adjusted; observed OpenFOAM warning: charge_mass_discretization
building_facade_pressure_probe_smoke,no_skill,execution_failed,False,False,0.6558,openfoam_blocking_failure,solver_end_and_workflow_state_reconciliation,failed check: OpenFOAM blocking diagnostics absent; failed check: execution completed; failed check: review report present; failed check: solver log clean End
building_facade_pressure_probe_smoke,abstract_skill,execution_failed,False,False,0.6158,openfoam_blocking_failure,solver_end_and_workflow_state_reconciliation,failed check: OpenFOAM blocking diagnostics absent; failed check: endTime within expected; failed check: execution completed; failed check: review report present
building_facade_pressure_probe_smoke,concrete_verifier_skill,success,True,True,0.996,success,keep_as_positive_control,observed OpenFOAM nonblocking warning: mesh_boundary_update; observed OpenFOAM nonblocking warning: probe_location_adjusted; observed OpenFOAM warning: charge_mass_discretization
erdc_internal_airblast_vent_pipe_probe,no_skill,success,True,True,0.996,success,keep_as_positive_control,observed OpenFOAM nonblocking warning: mesh_default_patch; observed OpenFOAM warning: blast_function_library_unavailable; observed OpenFOAM warning: openfoam_warning
erdc_internal_airblast_vent_pipe_probe,abstract_skill,success,True,True,0.996,success,keep_as_positive_control,observed OpenFOAM nonblocking warning: mesh_default_patch; observed OpenFOAM warning: openfoam_warning
erdc_internal_airblast_vent_pipe_probe,concrete_verifier_skill,success,True,True,1.0,success,keep_as_positive_control,observed OpenFOAM nonblocking warning: mesh_default_patch; observed OpenFOAM warning: openfoam_warning
gable_roof_building_envelope_pressure_smoke,no_skill,workflow_state_mismatch,False,False,0.8721,workflow_state_mismatch,non_placeholder_review_contract,failed check: OpenFOAM blocking diagnostics absent; failed check: workflow exit_code zero; failed check: workflow failure absent; observed OpenFOAM blocking diagnostic: openfoam_fatal
gable_roof_building_envelope_pressure_smoke,abstract_skill,workflow_state_mismatch,False,False,0.8641,workflow_state_mismatch,non_placeholder_review_contract,failed check: OpenFOAM blocking diagnostics absent; failed check: workflow exit_code zero; failed check: workflow failure absent; observed OpenFOAM blocking diagnostic: openfoam_fatal
gable_roof_building_envelope_pressure_smoke,concrete_verifier_skill,success,True,True,0.996,success,keep_as_positive_control,observed OpenFOAM nonblocking warning: mesh_boundary_update; observed OpenFOAM warning: charge_mass_discretization
hemicylinder_obstacle_reflection_probe_smoke,no_skill,execution_failed,False,False,0.6197,openfoam_blocking_failure,solver_end_and_workflow_state_reconciliation,failed check: OpenFOAM blocking diagnostics absent; failed check: execution completed; failed check: important files exist; failed check: review report present
hemicylinder_obstacle_reflection_probe_smoke,abstract_skill,execution_failed,False,False,0.7237,openfoam_blocking_failure,solver_end_and_workflow_state_reconciliation,failed check: execution completed; failed check: review report present; failed check: solver log clean End; failed check: workflow exit_code zero
hemicylinder_obstacle_reflection_probe_smoke,concrete_verifier_skill,execution_failed,False,False,0.6677,openfoam_blocking_failure,solver_end_and_workflow_state_reconciliation,failed check: OpenFOAM blocking diagnostics absent; failed check: execution completed; failed check: review report present; failed check: solver log clean End
reconass_400kg_external_facade_smoke,no_skill,execution_failed,False,False,0.6598,openfoam_blocking_failure,solver_end_and_workflow_state_reconciliation,failed check: OpenFOAM blocking diagnostics absent; failed check: execution completed; failed check: review report present; failed check: solver log clean End
reconass_400kg_external_facade_smoke,abstract_skill,execution_failed,False,False,0.6558,openfoam_blocking_failure,solver_end_and_workflow_state_reconciliation,failed check: OpenFOAM blocking diagnostics absent; failed check: execution completed; failed check: review report present; failed check: solver log clean End
reconass_400kg_external_facade_smoke,concrete_verifier_skill,execution_failed,False,False,0.7401,openfoam_blocking_failure,solver_end_and_workflow_state_reconciliation,failed check: OpenFOAM blocking diagnostics absent; failed check: execution completed; failed check: solver log clean End; failed check: workflow exit_code zero
shock_tube_short_validation,no_skill,success,True,True,0.9881,success,keep_as_positive_control,observed OpenFOAM nonblocking warning: mesh_default_patch
shock_tube_short_validation,abstract_skill,success,True,True,0.9881,success,keep_as_positive_control,observed OpenFOAM nonblocking warning: mesh_default_patch
shock_tube_short_validation,concrete_verifier_skill,success,True,True,1.0,success,keep_as_positive_control,observed OpenFOAM nonblocking warning: mesh_default_patch
surface_burst_scaled_probe_smoke,no_skill,success,True,True,0.9841,success,keep_as_positive_control,observed OpenFOAM nonblocking warning: fieldMinMax references missing dynamicP object; observed OpenFOAM nonblocking warning: mesh_default_patch
surface_burst_scaled_probe_smoke,abstract_skill,success,True,True,1.0,success,keep_as_positive_control,observed OpenFOAM nonblocking warning: fieldMinMax references missing dynamicP object; observed OpenFOAM nonblocking warning: mesh_default_patch; observed OpenFOAM nonblocking warning: probe_location_adjusted
surface_burst_scaled_probe_smoke,concrete_verifier_skill,success,True,True,0.996,success,keep_as_positive_control,observed OpenFOAM nonblocking warning: fieldMinMax references missing dynamicP object; observed OpenFOAM nonblocking warning: mesh_default_patch; observed OpenFOAM nonblocking warning: probe_location_adjusted
three_level_building_room_pressure_smoke,no_skill,success,True,True,0.9881,success,keep_as_positive_control,observed OpenFOAM nonblocking warning: mesh_boundary_update; observed OpenFOAM nonblocking warning: probe_location_adjusted; observed OpenFOAM warning: charge_mass_discretization; observed workflow issue: agent attempted to read a non-existent path
three_level_building_room_pressure_smoke,abstract_skill,success,True,True,1.0,success,keep_as_positive_control,observed OpenFOAM nonblocking warning: mesh_boundary_update; observed OpenFOAM warning: charge_mass_discretization
three_level_building_room_pressure_smoke,concrete_verifier_skill,review_failed,False,False,0.9441,review_report_failure,non_placeholder_review_contract,failed check: endTime within expected; observed OpenFOAM nonblocking warning: mesh_boundary_update; observed OpenFOAM nonblocking warning: probe_location_adjusted; observed OpenFOAM warning: charge_mass_discretization
vented_confined_gas_explosion_window_smoke,no_skill,success,True,True,0.996,success,keep_as_positive_control,observed OpenFOAM nonblocking warning: mesh_default_patch; observed OpenFOAM warning: openfoam_warning
vented_confined_gas_explosion_window_smoke,abstract_skill,success,True,True,0.9921,success,keep_as_positive_control,observed OpenFOAM nonblocking warning: mesh_default_patch; observed OpenFOAM warning: openfoam_warning; observed workflow issue: agent attempted to read a non-existent path
vented_confined_gas_explosion_window_smoke,concrete_verifier_skill,success,True,True,0.9881,success,keep_as_positive_control,observed OpenFOAM nonblocking warning: mesh_default_patch; observed OpenFOAM warning: openfoam_warning
vertical_wall_shielding_probe_line_smoke,no_skill,artifact_incomplete,False,False,0.511,artifact_incomplete,solver_end_and_workflow_state_reconciliation,failed check: endTime within expected; failed check: execution completed; failed check: execution report present; failed check: execution status present
vertical_wall_shielding_probe_line_smoke,abstract_skill,execution_failed,False,False,0.6637,openfoam_blocking_failure,solver_end_and_workflow_state_reconciliation,failed check: OpenFOAM blocking diagnostics absent; failed check: execution completed; failed check: review report present; failed check: solver log clean End
vertical_wall_shielding_probe_line_smoke,concrete_verifier_skill,success,True,True,1.0,success,keep_as_positive_control,observed OpenFOAM warning: charge_mass_discretization; observed OpenFOAM warning: openfoam_warning
